วันนี้โคตรเฟล ทำอะไรก็ผิดไปหมด | neg
วันนี้รถไม่ค่อยติดเท่าไหร่ แปลกมาก | neu
ได้คุยกับแม่นิดหน่อยเรื่องความเป็นอยู่ | neu
พรุ่งนี้ต้องตื่นเช้าไปทำธุระที่ธนาคาร | neu
เพิ่งดูซีรีส์จบไปหนึ่งตอน ก็สนุกดีนะ | neu
วันนี้ไม่ได้ออกไปไหนเลย อยู่ห้องเฉยๆ | neu
กาแฟร้านนี้รสชาติกลางๆ พอกินได้ | neu
เก็บห้องนิดหน่อย ฝุ่นเริ่มเยอะแล้ว | neu
วันนี้อากาศร้อนมาก แดดเปรี้ยงเลย | neu
วันนี้ลูกค้าเงียบๆ ไม่ค่อยวุ่นวาย | neu
ไปเดินห้างมา คนเยอะเหมือนเดิม | neu
เปลี่ยนผ้าปูที่นอนใหม่ หอมน้ำยาปรับผ้านุ่ม | neu
ลองทำเมนูใหม่ รสชาติพอกินได้ | neu
วันนี้เงียบสงบดี ไม่มีใครทักมากวน | neu
ฟังเพลงเรื่อยๆ ระหว่างนั่งรถกลับบ้าน | neu
แมวที่บ้านนอนทั้งวัน น่ารักดี | neu
วันนี้เลิกงานตรงเวลา เป๊ะมาก | neu
ไม่มีเรื่องอะไรให้คิดมาก วันธรรมดาวันนึง | neu
เพิ่งรู้ว่าร้านหน้าปากซอยปิดกิจการ | neu
ซักผ้าตากไว้ หวังว่าฝนจะไม่ตก | neu
ได้รับพัสดุแล้ว สั่งของมาใช้ทั่วไป | neu
รู้สึกเฉยๆ กับเรื่องที่เกิดขึ้น ปล่อยวางได้ | neu
วันนี้ท้องฟ้าสวยจัง เห็นแล้วใจฟู | pos
ส่งโปรเจกต์ทัน โล่งอกสุดๆ | pos
ได้กินชานมไข่มุกแล้ว ความหวานคือที่สุด| pos
เพื่อนชมว่าแต่งตัวน่ารัก เขินนะแต่ชอบ | pos
ขอบคุณตัวเองที่อดทนผ่านวันนี้มาได้ | pos
ได้นอนเต็มอิ่ม ตื่นมาสดชื่นเวอร์ | pos
เจอร้านกาแฟลับ อร่อยแสงออกปาก | pos
มีคนลุกให้นั่งบนรถไฟฟ้า ใจดีจัง | pos
รู้สึกมีไฟ อยากลุกขึ้นมาเปลี่ยนแปลงตัวเอง | pos
วันนี้แต่งหน้าสวยจึ้ง มั่นใจสุดๆ | pos
ได้คุยกับเพื่อนเก่า หัวเราะจนท้องแข็ง | pos
แฟนซื้อขนมมาฝาก น่ารักเท่าโลก | pos
ถูกหวยเลขท้าย 2 ตัว กรี๊ดสิครับรออะไร | pos
อาหารเย็นวันนี้อร่อย ฟินสุดๆ | pos
รู้สึกรักตัวเองขึ้นในทุกๆ วัน | pos
วันนี้อากาศดี เหมาะแก่การไปวิ่งสวนรถไฟ | pos
เคลียร์ใจกับเพื่อนแล้ว สบายใจขึ้นเยอะ | pos
ดูหนังเรื่องนี้แล้ว feel good อบอุ่นหัวใจ | pos
ภูมิใจที่กล้าปฏิเสธในสิ่งที่ไม่อยากทำ | pos
productive จัง ทำ to-do list จนครบ | pos
ได้ของขวัญวันเกิดถูกใจ ใช่เลย | pos
ออกกำลังกายเสร็จแล้วรู้สึกตัวเบา สดชื่น | pos
ฟังเพลงนี้แล้วยิ้มไม่หุบ ความหมายปัง | pos
วันนี้โชคดีจัง เจอแต่เรื่องดีๆ | pos
น้องหมาที่บ้านวิ่งมารับตอนกลับ หายเหนื่อยเลย | pos
ตั้งเป้าหมายสำเร็จไปอีกขั้น | pos
บรรยากาศร้านดี เพลงเพราะ นั่งชิลยาวๆ | pos
ขอบคุณที่ยังมีลมหายใจ พรุ่งนี้ต้องดีกว่าเดิม | pos
ได้รับคำชมจากหัวหน้า หายเหนื่อยเป็นปลิดทิ้ง | pos
วันนี้ทรงผมเป็นใจ | pos
นั่งสมาธิแล้วสงบขึ้นเยอะ จิตใจผ่องใส | pos
ดีใจที่ได้ช่วยเหลือคนอื่น | pos
พร้อมลุยกับวันพรุ่งนี้ พลังงานเต็มเปี่ยม | pos
ทำไมต้องมาเจออะไรแบบนี้ด้วย ไม่เข้าใจ | neg
ปวดหลังไม่ไหว นั่งทำงานท่าเดิมทั้งวัน | neg
รู้สึกเหมือนตัวเองเป็นภาระคนอื่น | neg
เบื่อขี้หน้าคนบางคน เห็นแล้วหงุดหงิด | neg
วันนี้แย่ ร้องไห้จนตาบวม | neg
โดนกดดันรอบทิศทาง จะบ้าตาย | neg
หมดศรัทธาในตัวเอง | neg
ทำดีเสมอตัว ทำชั่วโดนด่า | neg
ไม่อยากคุยกับใคร ปิดมือถือหนีเลยดีไหม | neg
รู้สึกพังๆ ข้างใน | neg
พยายามแล้วแต่มันก็ยังดีไม่พอ | neg
เกลียดความรู้สึกที่ไม่รู้จะเอายังไงกับชีวิต | neg
โดนแซงคิวต่อหน้าต่อตา โมโหมาก | neg
เสียความรู้สึกกับคำพูดแรงๆ นั่น | neg
วันนี้เป็นวันที่แย่ที่สุดในรอบปี | neg
เหงาจนเจ็บปวด | neg
ไม่มีความสุขเลยช่วงนี้ | neg
อยากหายไปจากโลกนี้สักพัก | neg
เงินเดือนออกเหมือนเงินทอน ท้อแท้ | neg
สับสนไปหมด ไม่รู้จะเดินไปทางไหน | neg
รู้สึกตัวเล็กจังเวลาอยู่ต่อหน้าเขา | neg
โดนตำหนิเรื่องเดิมๆ ซ้ำซาก | neg
ไม่มีใครฟังเราเลยสักคน | neg
เครียดจนกินไม่ได้นอนไม่หลับ | neg
รู้สึกแย่ที่ต้องฝืนยิ้มทั้งที่ข้างในพัง | neg
ผิดหวังกับผลลัพธ์ที่ออกมา | neg
เหนื่อยใจกับปัญหาที่แก้ไม่ตก | neg
ทำไมชีวิตมันยากจังวะ | neg
โดนเมินข้อความ เจ็บจี๊ด | neg
รู้สึกไม่มั่นคงในจิตใจ | neg
อยากระบายแต่ไม่รู้จะเล่าให้ใครฟัง | neg
วันนี้โคตรซวย ยางแตกกลางทาง | neg
รำคาญเสียงบ่นข้างบ้าน | neg
แวะเติมน้ำมันก่อนเข้าออฟฟิศ | neu
มื้อเย็นกินก๋วยเตี๋ยวหน้าปากซอย | neu
นั่งดูข่าวในทีวีไปเรื่อยเปื่อย | neu
วันนี้งานไม่ค่อยเยอะเท่าไหร่ | neu
เดินผ่านสวนสาธารณะ เห็นคนมาวิ่งเยอะดี | neu
จ่ายค่าไฟผ่านแอปเรียบร้อย | neu
พรุ่งนี้วันหยุดแล้ว ยังไม่มีแผน | neu
ลองชิมขนมที่เพื่อนซื้อมาฝาก ก็โอเค | neu
นั่งรถไฟฟ้าคนแน่นเหมือนเดิม | neu
วันนี้พระจันทร์เต็มดวง สว่างดี | neu
จัดตู้เสื้อผ้าใหม่ หาของเจอง่ายขึ้น | neu
โทรคุยกับเพื่อนเรื่องสัพเพเหระ | neu
วันนี้ดื่มน้ำเยอะตามเป้าที่ตั้งไว้ | neu
แอร์ที่ออฟฟิศหนาวมากต้องใส่เสื้อคลุม | neu
เดินเล่นห้างตากแอร์เฉยๆ ไม่ได้ซื้ออะไร | neu
วันนี้กลับบ้านทางลัด รถไม่ติด | neu
อ่านข่าวในทวิตเตอร์ผ่านๆ ตา | neu
รู้สึกง่วงๆ ตอนบ่ายนิดหน่อย | neu
วันนี้ใส่เสื้อสีมงคลตามตาราง | neu
วันนี้ประชุมยาว 2 ชั่วโมง | neu
แบตมือถือจะหมด ลืมเอาสายชาร์จมา | neu
วันนี้อากาศอบอ้าวนิดนึง | neu
นั่งมองคนเดินผ่านไปผ่านมา | neu
ได้ยินเพลงนี้เปิดในวิทยุบ่อยจัง | neu
สั่งของออนไลน์ไป รอมาส่งพรุ่งนี้ | neu
วันนี้กินข้าวตรงเวลา | neu
ไม่มีอะไรตื่นเต้น เรียบง่ายไปอีกวัน | neu
เขียนไดอารี่จบแล้ว เตรียมตัวนอน | neu
วันนี้ใส่รองเท้าคู่เก่ง เดินสบาย | neu
วันนี้ทำสถิติวิ่งได้ดีกว่าเมื่อวาน เยี่ยม | pos
ได้กินของอร่อยๆ คือความสุขที่สุด | pos
ขอบคุณที่วันนี้ไม่มีเรื่องปวดหัว | pos
วันนี้แต่งตัวดูดีจนมีคนทัก | pos
ได้บัตรคอนเสิร์ตที่อยากดูแล้ว กรี๊ดดด | pos
รู้สึกขอบคุณทุกสิ่งที่ผ่านเข้ามา | pos
วันนี้ยิ้มเยอะ มีความสุข | pos
นอนดูซีรีส์ยาวๆ ฟินระดับสิบ | pos
ภูมิใจที่ก้าวข้ามความกลัวได้สำเร็จ | pos
อากาศดีจัง ลมพัดเย็นสบาย | pos
วันนี้ใจเย็นลงเยอะ ไม่หัวร้อนง่ายๆ | pos
ชอบตัวเองเวลาที่มีความสุขแบบนี้ | pos
ได้ลองทำอะไรใหม่ๆ แล้วสนุกดี | pos
หายป่วยแล้ว กลับมาแข็งแรงเหมือนเดิม | pos
วันนี้โชคดีได้ที่จอดรถทำเลดี | pos
ฟังพอดแคสต์แล้วได้แรงบันดาลใจเพียบ | pos
รู้สึกรักและเห็นคุณค่าในตัวเอง | pos
วันนี้หัวเราะจนเหนื่อย | pos
อาบน้ำร้อนแล้วสบายตัวสุดๆ | pos
มีคนใจดีช่วยถือของ | pos
วันนี้ตื่นเช้ามาสูดอากาศบริสุทธิ์ สดชื่น | pos
ทำอาหารกินเองแล้วอร่อย ไม่อยากจะโม้ | pos
ความพยายามไม่เคยทำร้ายใครจริงๆ | pos
รู้สึกอบอุ่นที่มีครอบครัวคอยซัพพอร์ต | pos
ได้พักผ่อนเต็มที่ ชาร์จพลังเต็มร้อย | pos
เห็นดอกไม้บานหน้าบ้านแล้วสดชื่น | pos
วันนี้ควบคุมอารมณ์ได้ดีเยี่ยม | pos
ชีวิตดี๊ดี มีแต่เรื่องราวดีๆ | pos
รักวันหยุดแบบนี้ที่สุด | pos
รู้สึกเหมือนโลกถล่มลงมาตรงหน้า | neg
ทำไมต้องมาเจออะไรแบบนี้ซ้ำๆ ซากๆ | neg
เบื่อตัวเองที่ขี้เกียจแบบนี้ | neg
ปวดหัวตุ้บๆ ไมเกรนถามหาอีกแล้ว | neg
เงินเหลือหลักร้อย จะรอดไหมเดือนนี้ | neg
โดนเพื่อนร่วมงานเอาเปรียบ น่าเกลียด | neg
รู้สึกด้อยค่าเวลาเห็นความสำเร็จคนอื่น | neg
รถติดแหง็กอยู่บนทางด่วน | neg
จะร้องไห้แต่ร้องไม่ออก มันจุกที่คอ | neg
โดนเทนัดกะทันหัน เสียเวลามาก | neg
รู้สึกเหมือนเป็นส่วนเกินในกลุ่มเพื่อน | neg
เหนื่อยใจกับคนในครอบครัว คุยกันไม่รู้เรื่อง | neg
ทำงานพลาดโดนด่ายับเลย | neg
หมดหวังกับสิ่งที่รอคอย | neg
รู้สึกว่างเปล่า ไม่มีเป้าหมายในชีวิต | neg
เกลียดวันจันทร์ ไม่อยากไปทำงาน | neg
โทรศัพท์หน้าจอแตก ซวยซ้ำซวยซ้อน | neg
หิวข้าวแต่กินไม่ลง เครียดลงกระเพาะ | neg
น้อยใจแฟนที่ไม่ใส่ใจเราเลย | neg
รู้สึกโดดเดี่ยวท่ามกลางผู้คนมากมาย | neg
ไม่อยากฟังข่าวการเมือง ฟังแล้วปวดประสาท | neg
ฝนตกหนักจนน้ำท่วมเข้าบ้าน ลำบากมาก | neg
โดนโกงเงินค่าของออนไลน์ เจ็บใจ | neg
รู้สึกผิดที่พูดไม่ดีกับแม่ไป | neg
นอนฝันร้าย สะดุ้งตื่นกลางดึก | neg
ปวดท้องเมนส์จนตัวงอ ทรมาน | neg
งานท่วมหัวเอาตัวไม่รอด | neg
รู้สึกแย่ที่รักษาสัญญาไม่ได้ | neg
เพื่อนยืมเงินแล้วเงียบหาย ทวงก็ไม่กล้า | neg
อิจฉาชีวิตคนอื่นจนตัวเองไม่มีความสุข | neg
เดินสะดุดบันได เจ็บตัวฟรี | neg
คอมค้างตอนยังไม่ได้เซฟงาน อยากจะบ้า | neg
รู้สึกไร้ตัวตนในที่ทำงาน | neg
หมดแรงบันดาลใจ ทำอะไรก็ฝืดเคือง | neg
เบื่อรถติด เบื่อฝนตก เบื่อทุกอย่าง | neg
เครียดเรื่องอนาคต ไม่รู้จะเอายังไงต่อ | neg
โดนมองด้วยสายตาเหยียดๆ ไม่ชอบเลย | neg
รู้สึกตัวเองโง่จังที่เชื่อคำโกหก | neg
แบตหมดพาวเวอร์แบงค์ก็ลืมเอามา หงุดหงิด | neg
อยากหนีไปบวชให้รู้แล้วรู้รอด | neg
รู้สึกเหมือนหายใจไม่ออก อึดอัด | neg
คนข้างห้องเสียงดัง รบกวนเวลานอน | neg
ทำของหาย หาไม่เจอ โมโหตัวเอง | neg
รู้สึกท้อถอย สู้ไม่ไหวแล้ว | neg
โดนแย่งที่จอดรถต่อหน้าต่อตา มารยาทแย่ | neg
กินข้าวไม่อร่อยเลย เสียดายตังค์ | neg
เหงาแบบตะโกน ไม่มีใครคุยด้วย | neg
อยากจะเททุกอย่าง แล้วนอนโง่ๆ | neg
ตื่นมาล้างหน้าแปรงฟันตามปกติ | neu
วันนี้ใส่เสื้อยืดกางเกงยีนส์ง่ายๆ | neu
เดินไปซื้อกาแฟหน้าปากซอย | neu
นั่งรอคิวธนาคารประมาณครึ่งชั่วโมง | neu
วันนี้แดดออกแรงตากผ้าแห้งไว | neu
เลื่อนฟีดเฟซบุ๊กดูข่าวทั่วไป | neu
แวะร้านสะดวกซื้อซื้อขนมปัง | neu
กลับมาถึงบ้านตอนหกโมงเย็น | neu
นั่งดูรายการวาไรตี้ในยูทูบ | neu
วันนี้กินสลัดเป็นมื้อเย็น | neu
ได้ยินเสียงนกร้องตอนเช้า | neu
เก็บห้องให้พอสะอาด | neu
วันนี้เพื่อนทักมาคุยเรื่องงาน | neu
นั่งมองรถวิ่งผ่านหน้าต่าง | neu
เช็กอีเมลช่วงบ่าย เคลียร์ไปได้บางส่วน | neu
วันนี้ตื่นสายกว่าปกตินิดนึง | neu
ฝนตั้งเค้ามามืดตึ๊ดตื๋อ | neu
ชาร์จแบตมือถือทิ้งไว้จนเต็ม | neu
วันนี้เปลี่ยนเส้นทางกลับบ้าน | neu
นั่งอ่านรีวิวร้านอาหารในเน็ต | neu
วันนี้ใส่รองเท้าผ้าใบคู่เก่า | neu
เห็นคนมุงดูอะไรกันไม่รู้ข้างทาง | neu
ซื้อตั๋วหนังรอบค่ำไว้ | neu
แวะเติมเงินบัตรรถไฟฟ้า | neu
วันนี้คนในออฟฟิศมาครบทุกคน | neu
นั่งคิดเมนูอาหารเย็นอยู่ตั้งนาน | neu
เห็นป้ายโฆษณาอันใหม่ สวยดี | neu
นั่งฟังเพลงสากลเพลินๆ | neu
หลังเลิกงานแวะเดินตลาดนัด | neu
เห็นหมานอนหลับอยู่หน้าร้านเซเว่น | neu
เปลี่ยนรูปโปรไฟล์ใหม่เฉยๆ | neu
วันนี้กินน้ำเปล่าเยอะดี | neu
หยิบหนังสือเล่มเก่ามาปัดฝุ่น | neu
วันนี้เงียบๆ ไม่ค่อยมีแจ้งเตือน | neu
สังเกตว่าต้นไม้ที่ปลูกโตขึ้นนิดนึง | neu
พับผ้าที่ตากไว้เก็บเข้าตู้ | neu
วันนี้ท้องฟ้าสีหม่นๆ ทั้งวัน | neu
นั่งลบรูปเก่าๆ ในมือถือทิ้ง | neu
ไม่ได้มีเรื่องอะไรพิเศษ เรียบๆ | neu
รอเพื่อนมารับไปกินข้าว | neu
วันนี้รถขยะมาเก็บตอนเช้า | neu
ปิดไฟเตรียมเข้านอนแล้ว | neu
นั่งเหม่อมองออกไปนอกระเบียง | neu
ในที่สุดก็วันศุกร์แล้ว | pos
ได้กินปิ้งย่างร้านโปรด ฟินลืมโลก | pos
รู้สึกภูมิใจที่เอาชนะใจตัวเองได้ | pos
แฟนเซอร์ไพรส์วันครบรอบ น่ารักที่สุด | pos
สอบผ่านแล้วโว้ยยย โล่งใจ | pos
วันนี้ตื่นมาสดใส หน้าไม่มีสิวเลย | pos
ได้รางวัลเล็กๆ น้อยๆ ก็ดีใจแล้ว | pos
ฟังเพลงนี้แล้วอิน ความหมายดีสุดๆ | pos
ขอบคุณเพื่อนที่คอยรับฟังเสมอ รักนะ | pos
วันนี้งานราบรื่น ไม่มีอุปสรรค | pos
เจอคนใจดีช่วยบอกทาง รู้สึกดี | pos
ได้ของเซลล์ราคาถูกใจ คุ้มค่า | pos
บรรยากาศดี ลมเย็นสบาย เหมาะแก่การพักผ่อน | pos
รู้สึกมีพลังบวกเต็มเปี่ยม | pos
วันนี้ยิ้มได้กว้างกว่าเมื่อวาน | pos
ดีใจที่ได้ทำบุญ จิตใจผ่องใส | pos
ดูคลิปตลกแล้วขำกลิ้ง หายเครียดเลย | pos
เคลียร์งานเสร็จหมดแล้ว สบายใจ | pos
รู้สึกว่าตัวเองเก่งขึ้นกว่าเดิม | pos
ได้กินขนมหวานเติมน้ำตาลในเลือด แฮปปี้ | pos
นอนหลับเต็มอิ่ม ตื่นมาหน้าเด้ง | pos
เพื่อนร่วมงานช่วยเคลียร์ปัญหา ซึ้งใจ | pos
แต่งตัวแมตช์ชุดได้ลงตัว | pos
บรรยากาศงานเลี้ยงสนุก เต้นยับ | pos
วันนี้ได้รับข่าวดีตั้งแต่เช้า | pos
ได้ดูคอนเสิร์ตศิลปินที่ชอบ ฟินตายตาหลับ | pos
มีคนชมว่าผอมลง เขินจัง | pos
วันนี้ทำอาหารอร่อย แฟนชมไม่หยุด | pos
อ่านหนังสือเล่มนี้จบแล้ว ได้ข้อคิดดีๆ | pos
เดินสวนสาธารณะแล้วเจอหมาน่ารัก ใจฟู | pos
วันนี้จัดการอารมณ์ตัวเองได้ดี เยี่ยม | pos
ความพยายามสัมฤทธิ์ผลแล้ว หายเหนื่อย | pos
รู้สึกโชคดีที่มีกัลยาณมิตรที่ดี | pos
วันนี้ผิวหน้าดี แต่งหน้าติดทน | pos
ได้พักผ่อนดูซีรีส์ยาวๆ สวรรค์ชัดๆ | pos
เจอลูกค้าพูดจาดี | pos
วันนี้รู้สึกมั่นใจในตัวเองสุดๆ | pos
เก็บเงินได้ตามเป้าแล้ว ภูมิใจ | pos
บรรยากาศฝนตกนอนห่มผ้า อุ่นสบาย | pos
วันนี้ทุกอย่างดูเป็นใจไปหมด | pos
หัวเราะจนปวดท้อง มีความสุขจัง | pos
พร้อมรับมือกับวันพรุ่งนี้ สู้ตาย | pos
โดนมองแรงใส่ งงมากนะ ผิดอะไร | neg
รู้สึกเหมือนจะป่วย ตัวรุมๆ ไม่สบายตัว | neg
เบื่อพวกชอบแซะ | neg
เงินในกระเป๋าไม่สัมพันธ์กับความหิว | neg
อยากลาออกวันละร้อยรอบ | neg
โดนดองแชท ข้ามวันแล้วยังไม่อ่าน | neg
ปวดหัวกับคนตรรกะพังๆ คุยไม่รู้เรื่อง | neg
น้ำหนักขึ้นอีกแล้ว เครียด | neg
โดนเจ้านายตามงานในวันหยุด ประสาทแดก | neg
เหงาเหมือนอยู่ตัวคนเดียวบนโลก | neg
เสียใจที่ไว้ใจคนผิด | neg
รถติดนรกแตก ไปทำงานสายจนได้ | neg
รู้สึกเฟลกับการกระทำของตัวเอง | neg
ไม่อยากตื่นมาเจอความจริง | neg
โดนขโมยซีน แย่งผลงานหน้าด้านๆ | neg
หงุดหงิดเน็ตช้า หมุนอยู่นั่นแหละ | neg
น้อยใจว่ะ ทำดีแทบตายไม่มีใครเห็น | neg
อยากร้องไห้ใต้ฝักบัว ระบายความเศร้า | neg
รู้สึกเหนื่อยจนใจจะขาด | neg
เกลียดความสัมพันธ์ที่คลุมเครือแบบนี้ | neg
โดนยกเลิกนัดตอนแต่งตัวเสร็จแล้ว เซ็งเป็ด | neg
กังวลเรื่องหนี้สิน นอนก่ายหน้าผาก | neg
สภาพคือตุยเย่ ไม่ไหวบอกไหว | neg
ผิดหวังที่เขาจำวันเกิดเราไม่ได้ | neg
รู้สึกกดดันจนหายใจไม่ออก | neg
ทะเลาะกับที่บ้านเรื่องเดิมๆ เบื่อ | neg
โดนทักว่าหน้าโทรม เสียเซลฟ์ | neg
งานเยอะกองเป็นภูเขา ทำไม่ทันแล้ว | neg
รู้สึกว่าตัวเองเป็นตัวตลกของคนอื่น | neg
อยากหนีปัญหาไปให้พ้นๆ | neg
เจ็บใจที่ช่วยอะไรเขาไม่ได้เลย | neg
โดนสปอยล์หนัง เป็นเหี้ยไร | neg
รู้สึกเคว้งคว้าง ล่องลอย | neg
เบื่อความวุ่นวาย อยากอยู่เงียบๆ คนเดียว | neg
คอมพังตอนงานเร่ง ซวยกว่านี้มีอีกไหม | neg
รู้สึกแย่ที่พูดไม่คิด | neg
อิจฉาเพื่อนที่ได้ไปเที่ยวต่างประเทศ | neg
เหนื่อยกับการใส่หน้ากากเข้าสังคม | neg
โดนเทงานใส่ โยนขี้มาชัดๆ | neg
รู้สึกหมดไฟ หมดใจ ไม่อยากทำอะไร | neg
โดนแม่บ่นแต่เช้า หูชาเลย | neg
เสียดายเวลาที่ทุ่มเทไป | neg
นอนไม่พอ ตาเป็นหมีแพนด้าแล้ว | neg
ตื่นมาก็อาบน้ำแต่งตัวตามสเต็ป | neu
วันนี้รถเมล์คนแน่นมาก เบียดกันสุด | neu
แวะซื้อกาแฟเจ้าประจำ รสชาติเหมือนเดิม | neu
นั่งทำงานไปเรื่อยๆ รอเวลาพักเที่ยง | neu
เห็นแมวนอนอาบแดดหน้าออฟฟิศ | neu
วันนี้ฝนตกปรอยๆ ทั้งวัน อากาศชื้นๆ | neu
สั่งก๋วยเตี๋ยวมากิน เส้นอืดนิดหน่อย | neu
นั่งอ่านข่าวบันเทิงฆ่าเวลา | neu
เปิดทีวีทิ้งไว้ให้มีเสียงเพื่อน | neu
วันนี้ค่าน้ำค่าไฟมาแล้ว วางบิลไว้บนโต๊ะ | neu
นั่งมองท้องฟ้าเปลี่ยนสีตอนพระอาทิตย์ตก | neu
ล้างจานกองโตที่แช่ไว้ตั้งแต่เช้า | neu
เพื่อนส่งสติกเกอร์มาในกลุ่มไลน์ | neu
วันนี้กินยากลายเป็นประจำ | neu
นั่งดูรูปเก่าๆ ในไอจี | neu
ชงโกโก้ร้อนกินก่อนนอน | neu
วันนี้ตื่นกลางดึกเพราะเสียงฟ้าร้อง | neu
นั่งรถผ่านโรงเรียนเก่า คิดถึงตอนเด็ก | neu
เก็บผ้าปูที่นอนไปซัก แดดแรงดี | neu
วันนี้มีจดหมายมาส่ง เป็นใบแจ้งหนี้ | neu
นั่งตัดเล็บเท้า เพลินดี | neu
ลองชิมขนมยี่ห้อใหม่ รสชาติแปลกๆ | neu
วันนี้ลืมเอากุญแจมา ต้องรอแม่มาเปิด | neu
นั่งดูคลิปทำอาหาร ดูเพลินๆ | neu
เปลี่ยนถ่านรีโมททีวี ใช้งานได้แล้ว | neu
วันนี้คนขับรถขับนิ่มดี หลับสบาย | neu
เห็นนกเกาะสายไฟเรียงกันเป็นแถว | neu
จัดโต๊ะทำงานใหม่ ย้ายของนิดหน่อย | neu
รอโหลดไฟล์งาน นานเหมือนกัน | neu
นั่งมองคนเดินข้ามทางม้าลาย | neu
ได้กลิ่นฝนตกใหม่ๆ กลิ่นดินหอมดี | neu
แวะเติมเงินมือถือที่ตู้บุญเติม | neu
นั่งแกะกล่องพัสดุที่สั่งมา | neu
วันนี้ลมพัดแรง ผมยุ่งหมดเลย | neu
เช็กสต็อกของในตู้เย็น ขาดไข่ไก่ | neu
ดูนาฬิกา จะหมดวันอีกแล้ว | neu
ปิดคอม เตรียมตัวกลับบ้าน | neu
วันนี้ผมสวย ลอนเด้งทั้งวัน | pos
ได้กินปูไข่ดอง แซ่บเวอร์ ฟิน | pos
ขอบคุณที่โลกใบนี้ยังมีเพลงเพราะๆ | pos
รู้สึกดีใจที่มีคนเข้าใจเราจริงๆ | pos
ถูกหวยแดกไม่เป็นไร งวดหน้าเอาใหม่ (ขำๆ) | pos
เจอเพื่อนเก่า เมาท์มอยน้ำลายแตก | pos
แฟนทำกับข้าวให้กิน น่ารักเท่าจักรวาล | pos
สอบผ่านฉลุย เกรดสวยหรูดูแพง | pos
ได้ของแรร์ไอเทมมาครอง ฟินสุด | pos
รู้สึกภูมิใจในตัวเองที่กล้าตัดสินใจ | pos
แม่โอนเงินมาให้ รักแม่ที่สุด | pos
ได้ดูคอนเสิร์ตวงโปรด ตายตาหลับ | pos
มีคนชมว่ายิ้มสวย เขินตัวม้วน | pos
งานเสร็จก่อนเดดไลน์ รู้สึกชนะ | pos
อากาศเย็นสบาย เหมือนอยู่เมืองนอก | pos
วันนี้ใจดี ให้เงินขอทานไป รู้สึกดี | pos
เจอร้านลับ อาหารอร่อยแสงออกปาก | pos
วันนี้แต่งหน้าติดทน หน้าไม่หยาเลย | pos
ได้บัตรจับมือไอดอล มือสั่นไปหมด ดีใจ | pos
รู้สึกขอบคุณทุกเรื่องราวที่ผ่านเข้ามา | pos
